55 3.31779 -6.36276 -4.10534  1.06898 19.6733 20.2939 20.5493   -0.0935416 0.747128 -0.284181 0.522744 0.746863 -0.298118 0.523744
56 3.37287 -6.35367 -4.07871  1.07363 19.6744 20.2711 20.5724   -0.09342 0.729502 -0.270894 0.513017 0.729425 -0.284562 0.512758
57 3.42697 -6.33664 -4.04751  1.07738 19.6763 20.2474 20.5958   -0.0931647 0.712278 -0.256294 0.503672 0.712442 -0.269577 0.502153
58 3.4815 -6.3094 -4.01163  1.08025 19.6787 20.2234 20.6192   -0.0928292 0.695493 -0.240948 0.495212 0.69594 -0.25374 0.492448
59 3.53776 -6.27023 -3.97371  1.08247 19.6815 20.1993 20.6427   -0.0924404 0.679172 -0.225418 0.488011 0.679932 -0.237616 0.484018
60 3.59559 -6.21989 -3.9372  1.08427 19.6847 20.1748 20.6667   -0.092006 0.663334 -0.209984 0.482138 0.664425 -0.22149 0.476915
61 3.65407 -6.1606 -3.90484  1.08585 19.6883 20.1494 20.6919   -0.0915415 0.648015 -0.194521 0.47748 0.64945 -0.205238 0.471023
62 3.71223 -6.09406 -3.87826  1.0873 19.6922 20.1231 20.7185   -0.0910754 0.633348 -0.178654 0.474016 0.635139 -0.188483 0.466324
63 3.7685 -6.02146 -3.85682  1.08846 19.6963 20.0963 20.7463   -0.0906293 0.619572 -0.162013 0.471928 0.62173 -0.170859 0.463038
64 3.82121 -5.94298 -3.84182  1.0892 19.7004 20.0699 20.7742   -0.0901992 0.606929 -0.144496 0.471488 0.609465 -0.15228 0.461486
65 3.86814 -5.85976 -3.83116  1.0892 19.7048 20.0448 20.8011   -0.0897679 0.595573 -0.126404 0.472833 0.598488 -0.133074 0.461854
66 3.90828 -5.77251 -3.82385  1.08831 19.7092 20.0216 20.8262   -0.0893283 0.585578 -0.108381 0.475889 0.588859 -0.113922 0.464096
67 3.94215 -5.68207 -3.81823  1.08654 19.7137 20.0005 20.8492   -0.0888941 0.577007 -0.0912466 0.480447 0.580625 -0.09567 0.468008
68 3.97161 -5.58961 -3.81191  1.08405 19.718 19.9816 20.8704   -0.0884953 0.569927 -0.0756905 0.486245 0.573845 -0.0790124 0.47332
69 3.99851 -5.49569 -3.80354  1.08102 19.7221 19.9644 20.8904   -0.0881608 0.564329 -0.0619363 0.493083 0.568503 -0.0641708 0.479827
70 4.02338 -5.39977 -3.79463  1.07757 19.7259 19.9491 20.909   -0.0878973 0.560117 -0.049718 0.500918 0.564503 -0.0508845 0.487496
71 4.04524 -5.30128 -3.78912  1.07381 19.7293 19.936 20.9257   -0.087693 0.55722 -0.0385342 0.509819 0.561776 -0.0386668 0.496423
72 4.06228 -5.20048 -3.7908  1.06974 19.7325 19.9254 20.9399   -0.0875218 0.555626 -0.0279448 0.519746 0.560314 -0.0270975 0.506606
73 4.07282 -5.09794 -3.80011  1.06523 19.7354 19.9179 20.9507   -0.0873568 0.555268 -0.0178318 0.530305 0.560054 -0.016082 0.517662
74 4.07649 -4.99387 -3.81354  1.06002 19.7381 19.9132 20.958   -0.0871921 0.555868 -0.00847242 0.540781 0.560712 -0.00592977 0.528845
75 4.07505 -4.888 -3.82656  1.05404 19.7402 19.9114 20.9618   -0.0870466 0.556961 -0.000373789 0.55052 0.561811 0.00282525 0.539443
76 4.07169 -4.7793 -3.83702  1.04748 19.7419 19.9121 20.9627   -0.0869441 0.55812 0.0059673 0.559236 0.562915 0.0096814 0.549112
