89 -0.756719 -0.701205 0.0550487   8.15806 8.35487 7.80363 -0.44413 -0.0383614 0.0476369 -0.444543 -0.0383679 0.0476009
90 -0.69953 -0.648586 0.0542353   8.15687 8.35399 7.80548 -0.441471 -0.0383218 0.0476807 -0.441836 -0.0383269 0.0476476
91 -0.641327 -0.595428 0.0533379   8.15574 8.35326 7.80714 -0.439083 -0.0383029 0.0477495 -0.439402 -0.0383066 0.0477195
92 -0.58219 -0.541788 0.0523584   8.15467 8.35269 7.80862 -0.43696 -0.0383046 0.0478434 -0.437234 -0.0383071 0.0478164
93 -0.522204 -0.487718 0.0512991   8.15366 8.35228 7.80993 -0.435094 -0.0383268 0.0479623 -0.435326 -0.0383281 0.0479384
94 -0.461454 -0.433268 0.0501626   8.15271 8.35201 7.81105 -0.433478 -0.0383696 0.0481064 -0.43367 -0.0383698 0.0480854
95 -0.401248 -0.379477 0.0491003   8.1518 8.35188 7.81201 -0.432107 -0.0384329 0.0482757 -0.432262 -0.0384321 0.0482576
96 -0.339036 -0.324265 0.0478124   8.15095 8.35191 7.8128 -0.430977 -0.0385169 0.0484706 -0.431097 -0.0385154 0.0484552
97 -0.27632 -0.268808 0.0464558   8.15014 8.35207 7.81342 -0.430082 -0.0386218 0.0486912 -0.430171 -0.0386197 0.0486783
98 -0.213188 -0.213152 0.0450339   8.14939 8.35238 7.81387 -0.42942 -0.0387478 0.0489378 -0.429482 -0.0387452 0.0489274
99 -0.149731 -0.157334 0.0435505   8.14867 8.35283 7.81415 -0.428987 -0.0388952 0.049211 -0.429026 -0.0388923 0.0492029
100 -0.086036 -0.1014 0.0420091   8.14801 8.35341 7.81427 -0.428783 -0.0390642 0.0495113 -0.428803 -0.0390612 0.0495051
101 -0.0221978 -0.0453838 0.0404135   8.14738 8.35414 7.81423 -0.428805 -0.0392553 0.0498391 -0.428811 -0.0392524 0.0498347
102 0.0416916 0.0106743 0.0387677   8.1468 8.35501 7.81402 -0.429054 -0.039469 0.0501952 -0.429051 -0.0394664 0.0501924
103 0.105537 0.0667369 0.0370756   8.14626 8.35603 7.81365 -0.42953 -0.0397057 0.0505803 -0.429522 -0.0397037 0.0505787
104 0.169242 0.122767 0.035342   8.14576 8.35719 7.81311 -0.430234 -0.039966 0.0509953 -0.430227 -0.0399648 0.0509946
105 0.23271 0.178728 0.0335711   8.1453 8.3585 7.8124 -0.431168 -0.0402506 0.0514411 -0.431168 -0.0402505 0.0514411
106 0.295842 0.23458 0.031768   8.14487 8.35996 7.81153 -0.432335 -0.0405602 0.0519188 -0.432347 -0.0405615 0.051919
107 0.358534 0.290292 0.0299378   8.14449 8.36157 7.81048 -0.433738 -0.0408957 0.0524295 -0.433768 -0.0408986 0.0524297
108 0.420688 0.345821 0.0280853   8.14414 8.36335 7.80926 -0.435381 -0.0412578 0.0529746 -0.435435 -0.0412626 0.0529743
109 0.482199 0.401132 0.0262163   8.14383 8.36529 7.80787 -0.437271 -0.0416477 0.0535555 -0.437354 -0.0416546 0.0535542
110 0.541297 0.454951 0.0242748   8.14356 8.3674 7.8063 -0.439411 -0.0420662 0.0541735 -0.43953 -0.0420756 0.054171
111 0.600998 0.509573 0.0223981   8.14332 8.36968 7.80454 -0.441809 -0.0425147 0.0548305 -0.44197 -0.0425268 0.0548262
112 0.659733 0.56386 0.0205226   8.14313 8.37215 7.80259 -0.444472 -0.0429941 0.0555281 -0.44468 -0.0430092 0.0555217
113 0.717392 0.617772 0.0186544   8.14296 8.37482 7.80046 -0.447408 -0.0435059 0.0562683 -0.44767 -0.0435243 0.0562593
114 0.773868 0.671261 0.016799   8.14283 8.37768 7.79812 -0.450626 -0.0440514 0.0570531 -0.450947 -0.0440734 0.0570411
115 0.829045 0.724281 0.0149634   8.14274 8.38075 7.79559 -0.454135 -0.0446321 0.0578847 -0.454521 -0.0446579 0.0578691
116 0.882816 0.776782 0.0131536   8.14268 8.38404 7.79285 -0.457946 -0.0452496 0.0587653 -0.458401 -0.0452794 0.0587458
117 0.935068 0.828707 0.0113757   8.14266 8.38755 7.78989 -0.462068 -0.0459055 0.0596975 -0.462598 -0.0459397 0.0596737
118 0.985692 0.879998 0.00963594   8.14267 8.39131 7.78671 -0.466514 -0.0466016 0.0606837 -0.467123 -0.0466402 0.0606552
119 1.03458 0.930587 0.00793987   8.14271 8.39531 7.7833 -0.471294 -0.0473395 0.0617268 -0.471987 -0.0473829 0.0616931
120 1.08162 0.9804 0.00629301   8.14278 8.39957 7.77966 -0.476421 -0.0481213 0.0628294 -0.477201 -0.0481696 0.0627901
121 1.12671 1.02936 0.0047009   8.14288 8.40409 7.77577 -0.481906 -0.0489487 0.0639944 -0.482776 -0.0490021 0.0639493
122 1.16974 1.07737 0.00316823   8.143 8.4089 7.77163 -0.487763 -0.0498238 0.0652249 -0.488725 -0.0498823 0.0651736
123 1.21063 1.12435 0.00169912   8.14315 8.41399 7.76723 -0.494001 -0.0507485 0.0665239 -0.495058 -0.0508123 0.0664662
124 1.24928 1.17017 0.000296758   8.14331 8.41938 7.76256 -0.500634 -0.0517248 0.0678944 -0.501786 -0.0517939 0.06783
125 1.28561 1.21472 -0.00103656   8.14349 8.42508 7.75761 -0.507671 -0.0527545 0.0693394 -0.508918 -0.0528289 0.0692681
126 1.31954 1.25785 -0.00229988   8.14367 8.43109 7.75237 -0.515121 -0.0538395 0.0708617 -0.516462 -0.0539191 0.0707834
127 1.35102 1.29942 -0.00349361   8.14385 8.43741 7.74683 -0.52299 -0.0549813 0.0724641 -0.524424 -0.0550661 0.0723788
128 1.37999 1.33927 -0.00461942   8.14402 8.44404 7.74098 -0.531283 -0.0561814 0.0741489 -0.532806 -0.0562712 0.0740567
129 1.40642 1.37722 -0.00568105   8.14416 8.45099 7.73482 -0.540002 -0.0574409 0.0759183 -0.541609 -0.0575354 0.0758193
130 1.43029 1.41305 -0.00668423   8.14427 8.45823 7.72833 -0.549142 -0.0587606 0.0777738 -0.550828 -0.0588594 0.0776682
131 1.45162 1.44657 -0.007637   8.14431 8.46577 7.72151 -0.558695 -0.0601404 0.0797161 -0.560453 -0.0602433 0.0796044
132 1.47042 1.47754 -0.00855018   8.14428 8.47357 7.71435 -0.568647 -0.06158 0.0817454 -0.570467 -0.0616864 0.0816279
133 1.48675 1.5057 -0.00943761   8.14415 8.48161 7.70685 -0.578975 -0.063078 0.0838604 -0.580847 -0.0631874 0.0837377
134 1.50069 1.5308 -0.0103152   8.14389 8.48985 7.699 -0.589648 -0.0646324 0.0860589 -0.591561 -0.0647441 0.0859318
135 1.51235 1.55256 -0.0112032   8.14346 8.49823 7.69081 -0.600626 -0.0662397 0.0883371 -0.602566 -0.066353 0.0882064
136 1.52186 1.57069 -0.0121238   8.14283 8.5067 7.68228 -0.611854 -0.0678952 0.0906892 -0.613807 -0.0680094 0.0905558
137 1.52939 1.58491 -0.0131025   8.14195 8.51518 7.67341 -0.623268 -0.069593 0.0931076 -0.625218 -0.069707 0.0929727
138 1.53514 1.59492 -0.0141676   8.14078 8.52357 7.66423 -0.634789 -0.0713253 0.0955824 -0.63672 -0.0714383 0.0954472
139 1.53933 1.60047 -0.0153485   8.13926 8.53178 7.65473 -0.646325 -0.0730828 0.0981016 -0.648219 -0.0731938 0.0979672
